1,-1,1379.0,324.0,524.4,754.9,73.2,tvmonitor,-1,-1,-1
2,-1,1376.0,325.3,528.8,751.1,66.6,tvmonitor,-1,-1,-1
3,-1,1383.6,333.6,523.9,743.5,75.8,tvmonitor,-1,-1,-1
4,-1,1376.5,328.9,524.9,745.9,64.3,tvmonitor,-1,-1,-1
5,-1,1378.4,331.9,525.5,745.2,74.7,tvmonitor,-1,-1,-1
6,-1,1379.5,334.8,524.3,744.7,64.6,tvmonitor,-1,-1,-1
7,-1,1380.4,336.8,522.2,744.2,62.9,tvmonitor,-1,-1,-1
8,-1,1378.9,338.6,524.1,745.6,62.0,tvmonitor,-1,-1,-1
9,-1,1379.3,336.2,524.3,749.4,61.7,tvmonitor,-1,-1,-1
10,-1,1377.2,331.0,524.8,753.1,69.3,tvmonitor,-1,-1,-1
